NAME,<15,15-24,25-34,35-64,65-74,>75
"Jefferson County, Tennessee",8647,7038,5907,21549,6322,4216
"Sequatchie County, Tennessee",2362,1721,1777,5995,1802,1159
"Carroll County, Tennessee",4963,3637,3192,10539,3247,2308
"Davidson County, Tennessee",124283,88843,137515,254640,49669,32538
"Perry County, Tennessee",1406,985,848,3091,973,659
"Meigs County, Tennessee",2003,1293,1232,4946,1737,893
"Haywood County, Tennessee",3289,2138,1999,7045,1898,1254
"Montgomery County, Tennessee",46084,30203,38274,67356,11347,6916
"Grundy County, Tennessee",2368,1568,1490,5178,1647,1093
"Cocke County, Tennessee",6052,3726,3939,14422,4557,2856
"DeKalb County, Tennessee",3509,2218,2469,8057,2176,1418
"Lewis County, Tennessee",2143,1413,1333,4667,1498,973
"Obion County, Tennessee",5416,3672,3275,11978,3459,2565
"Tipton County, Tennessee",12366,7989,7859,24582,5331,3320
"Dyer County, Tennessee",7296,4611,4476,14602,3788,2643
"Hamilton County, Tennessee",62967,44078,51944,139789,35649,26492
"Polk County, Tennessee",2679,1847,1738,7101,2064,1385
"White County, Tennessee",4976,3034,3017,10399,3109,2265
"Sullivan County, Tennessee",24893,17679,17709,63016,19019,14734
"Schoharie County, New York",4465,4448,3270,12486,3864,2689
"Fulton County, New York",8932,6113,6418,21972,5898,4313
"Rensselaer County, New York",25550,21900,22328,63100,15608,10699
"Franklin County, New York",8285,7127,6862,19838,5024,3341
"Queens County, New York",389831,252161,369938,924944,196208,154306
"Washington County, New York",9609,7015,7282,26090,6778,4842
"New York County, New York",201175,181453,364775,620234,144598,119758
"Cayuga County, New York",12499,9490,9440,31784,8235,5977
"Rockland County, New York",75769,45062,37413,115767,27533,22878
"Niagara County, New York",34709,25385,26305,85204,22449,16768
"Essex County, New York",4886,3906,4522,15620,4871,3654
"Nassau County, New York",239327,174169,156728,549302,129739,107244
"Schuyler County, New York",2777,1914,2060,7442,2239,1488
"Chenango County, New York",8133,5432,5295,19372,5665,4012
"Jefferson County, New York",23403,17899,19172,37445,8736,6187
"Suffolk County, New York",257481,195509,173683,612288,138089,106782
"Wyoming County, New York",6523,4749,5442,16595,4280,2716
"Oswego County, New York",20559,17687,14213,47212,11265,7403
"Wayne County, New York",16012,10593,9963,37320,9948,6683
"Broome County, New York",30813,34311,21504,70453,19086,17021
"Hinsdale County, Colorado",99,55,69,424,131,79
"Erie County, New York",153462,119912,130105,354132,89861,71883
"Sullivan County, New York",13107,8923,8949,30209,8534,5394
"Orange County, New York",79854,57456,43974,146850,30664,21287
"Haywood County, North Carolina",9054,6197,6819,24118,8603,6262
"Forsyth County, North Carolina",71990,51541,49008,144187,34235,24234
"Lake County, Indiana",94086,63759,59383,190375,44869,33235
"Montgomery County, Indiana",7171,5096,4450,14760,3771,3039
"Adams County, Indiana",9423,4713,4076,11812,2869,2483
"Fayette County, Indiana",4129,2843,2443,9227,2612,1940
"Clay County, Indiana",4945,3062,3128,10423,2711,1965
"Dubois County, Indiana",8751,5174,4726,16721,3922,3249
"Franklin County, Indiana",4449,2779,2317,9236,2334,1659
"Hancock County, Indiana",14336,9346,8811,30700,7237,4734
"Howard County, Indiana",15401,9947,9713,31580,8881,6809
"Ohio County, Indiana",929,566,634,2513,723,509
"Parke County, Indiana",3025,1885,2067,6730,1952,1287
"Randolph County, Indiana",4658,2947,2696,9718,2673,2234
"Benton County, Indiana",1768,1064,944,3381,863,657
"Brown County, Indiana",2135,1498,1408,6362,2340,1321
"Putnam County, Indiana",5976,6598,4380,14307,3384,2739
"Washington County, Indiana",5191,3328,3163,11509,2790,1867
"Daviess County, Indiana",8115,4440,4204,11332,2874,2155
"Henry County, Indiana",8028,5865,5906,19465,5174,3817
