NAME,white,black,amindia,asia,pacific,other,2m,state,county
"Summit County, Colorado",27978,342,111,179,79,1380,580,08,117
"Alamosa County, Colorado",13918,144,534,213,74,783,441,08,003
"Delta County, Colorado",28866,367,269,323,0,273,467,08,029
"Fremont County, Colorado",42504,2177,649,320,5,617,1049,08,043
"Montrose County, Colorado",39254,163,390,386,133,695,665,08,085
"Morgan County, Colorado",25319,1038,114,152,50,862,982,08,087
"Saguache County, Colorado",5948,33,130,0,0,189,292,08,109
"Prowers County, Colorado",11351,95,181,70,0,123,202,08,099
"Washington County, Colorado",4641,63,6,29,1,53,75,08,121
"Grand County, Colorado",14510,172,3,213,17,213,175,08,049
"Otero County, Colorado",16479,113,218,167,13,732,560,08,089
"Broomfield County, Colorado",58579,875,298,4420,0,1271,2443,08,014
"Sussex County, Delaware",184098,26918,777,2753,258,4384,5196,10,005
"District of Columbia, District of Columbia",285857,320811,2091,27592,376,34511,21445,11,001
"New Haven County, Connecticut",628640,115837,1670,34656,177,48622,27911,09,009
"Hartford County, Connecticut",631471,123117,2963,47734,280,56134,31862,09,003
"Shelby County, Tennessee",366180,502669,1562,24626,264,25456,15617,47,157
"Henderson County, Tennessee",25091,2192,0,35,22,31,606,47,077
"Jefferson County, Tennessee",51204,910,69,345,20,161,970,47,089
"Sequatchie County, Tennessee",14382,33,16,0,0,10,375,47,153
"Carroll County, Tennessee",24211,2867,68,113,36,30,561,47,017
"Davidson County, Tennessee",440299,186295,1534,24865,412,16136,17947,47,037
"Perry County, Tennessee",7372,218,12,178,0,31,151,47,135
"Meigs County, Tennessee",11630,230,41,26,0,0,177,47,121
"Haywood County, Tennessee",8243,8950,0,8,5,238,179,47,075
"Montgomery County, Tennessee",141131,40208,1113,4409,782,3023,9514,47,125
"Grundy County, Tennessee",11758,96,131,26,0,12,1321,47,061
"Cocke County, Tennessee",33687,662,328,67,41,20,747,47,029
"DeKalb County, Tennessee",18582,360,62,54,11,465,313,47,041
"Lewis County, Tennessee",11436,219,0,164,0,53,155,47,101
"Obion County, Tennessee",25859,3126,76,116,7,551,630,47,131
