NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Charlotte County, Virginia",3330,819,421,953,58,51,37,1417.0
"Greensville County, Virginia",2885,538,267,779,29,51,81,1377.0
"Thurston County, Washington",103562,17113,5756,26269,15532,53,67,740.0
"Columbia County, Washington",1178,260,111,469,36,53,13,11732.0
"Guayanilla Municipio, Puerto Rico",3621,393,676,5816,49,72,59,158.0
"Sabana Grande Municipio, Puerto Rico",3278,1489,1183,6160,126,72,121,539.0
"Hormigueros Municipio, Puerto Rico",3149,1194,581,3921,61,72,67,1187.0
"Utuado Municipio, Puerto Rico",3133,1418,1680,9434,85,72,141,573.0
"Florida Municipio, Puerto Rico",1918,562,963,3763,32,72,54,1697.0
"Moca Municipio, Puerto Rico",5089,2059,1434,12977,138,72,99,356.0
"Salinas Municipio, Puerto Rico",4667,810,1346,8491,185,72,123,1514.0
"Mississippi County, Missouri",2923,640,623,1522,81,29,133,1343.0
"Ozark County, Missouri",2022,559,437,776,68,29,153,1615.0
"Bollinger County, Missouri",3654,753,734,957,126,29,17,1240.0
"Sumner County, Tennessee",72272,12646,4089,11355,1983,47,165,1309.0
"Trousdale County, Tennessee",3160,716,211,1033,133,47,169,13204.0
"Clay County, Tennessee",1895,581,488,764,55,47,27,1211.0
"Moultrie County, Illinois",5003,834,223,923,86,17,139,748.0
"Pike County, Illinois",5239,1038,401,1856,80,17,149,1310.0
"Pope County, Illinois",1215,247,285,601,0,17,151,626.0
"St. Clair County, Illinois",91050,14155,7161,29973,13185,17,163,160.0
"Shelby County, Illinois",8010,1621,479,1829,96,17,173,13569.0
"Champaign County, Illinois",96395,21909,3497,14676,1372,17,19,792.0
"Calhoun County, Illinois",1768,213,181,557,15,17,13,7215.0
"Ford County, Illinois",4298,1191,324,1614,67,17,53,61.0
"Kane County, Illinois",216067,33085,7753,32177,2146,17,89,531.0
"Kendall County, Illinois",58248,6802,1135,6607,645,17,93,38164.0
"Brown County, Illinois",1903,326,180,358,17,17,9,4807.0
"Marion County, Illinois",12085,1687,1185,5688,241,17,121,243.0
"Mason County, Illinois",4716,849,406,1660,37,17,125,2117.0
"Iroquois County, Illinois",9620,1972,916,2809,138,17,75,528.0
"Clay County, Illinois",4270,905,608,1900,102,17,25,1320.0
"Gallatin County, Illinois",1519,345,157,806,46,17,59,717.0
"Monroe County, Illinois",16570,1867,652,1275,152,17,133,140.0
"Union County, Illinois",5844,591,642,2420,109,17,181,721.0
"Winnebago County, Illinois",101816,15837,8702,34863,1479,17,201,791.0
"Pulaski County, Illinois",1493,245,236,995,19,17,153,14288.0
"Schuyler County, Illinois",2270,558,142,663,33,17,169,274.0
"Edgar County, Illinois",6517,1321,556,1709,104,17,45,585.0
"Boone County, Illinois",21301,3043,1224,4149,440,17,7,667.0
"Bureau County, Illinois",12178,2398,648,3122,138,17,11,2699.0
"Coles County, Illinois",19769,3614,1368,6934,404,17,29,1237.0
"Crawford County, Illinois",5981,926,488,1717,132,17,33,2620.0
"Putnam County, Illinois",2441,318,123,473,16,17,155,817.0
"De Witt County, Illinois",6037,1033,362,1496,53,17,39,135.0
"Lee County, Illinois",12796,1623,885,2968,93,17,103,625.0
"Macoupin County, Illinois",16580,2677,1491,5227,307,17,117,1013.0
"Richland County, Illinois",5069,1080,484,2099,84,17,159,1833.0
"Washington County, Illinois",5613,1148,341,919,116,17,189,602.0
"Washington County, Oregon",264276,40420,7398,42998,3692,41,67,445.0
"Clatsop County, Oregon",11604,2637,1489,5196,862,41,7,29520.0
